Date,Close,High,Low,Open,Time
2014-80-04,4383.8901,4395.3799,4343.0298,4365.6201,1677400064
2014-80-05,4352.8398,4383.0200,4333.5801,4364.5898,1916179968
2014-80-06,4355.0498,4378.9902,4325.0400,4326.2798,1819309952
2014-80-07,4334.9702,4379.7002,4321.8901,4373.2500,1866329984
2014-80-08,4370.8999,4373.1201,4327.8701,4340.8799,1759059968
2014-81-11,4401.3301,4415.7798,4384.1499,4387.3799,1537880064
2014-81-12,4389.2500,4407.0801,4371.8398,4394.6899,1560220032
2014-81-13,4434.1299,4434.3101,4403.6401,4407.8701,1611689984
2014-81-14,4453.0000,4453.0000,4433.9399,4438.1299,1549820032
2014-81-15,4464.9302,4482.4702,4427.1299,4479.6401,1799459968
2014-81-18,4508.3101,4509.1602,4486.4399,4490.5298,1571100032
2014-81-19,4527.5098,4528.9102,4513.9199,4514.2598,1556560000
2014-82-20,4526.4800,4533.0098,4515.7300,4517.7500,1502029952
2014-82-21,4532.1001,4534.0000,4513.8101,4526.7202,1421730048
2014-82-22,4538.5498,4547.2402,4521.7700,4534.8701,1311810048
2014-82-25,4557.3501,4571.1401,4547.7798,4563.7202,1384620032
2014-82-26,4570.6401,4575.5898,4556.7798,4563.8101,1469619968
2014-82-27,4569.6201,4575.8101,4561.8398,4574.3501,1389469952
2014-82-28,4557.7002,4565.9600,4546.6201,4552.5498,1309580032
2014-82-29,4580.2700,4580.2700,4553.7798,4571.7598,1352829952
2014-90-02,4598.1899,4598.6401,4576.8101,4592.4199,1859079936
2014-90-03,4572.5601,4610.1401,4565.3799,4610.1401,1897449984
2014-90-04,4562.2900,4603.1499,4553.3101,4581.5200,1728700032
2014-90-05,4582.8999,4583.0000,4542.7402,4560.6299,1641830016
2014-90-08,4592.2900,4600.3999,4570.2300,4579.0601,1670210048
2014-90-09,4552.2900,4599.0298,4544.4399,4588.8301,1956550016
2014-91-10,4586.5200,4587.1001,4544.8398,4554.1499,1808649984
2014-91-11,4591.8101,4591.8101,4559.7500,4567.6401,1704850048
2014-91-12,4567.6001,4590.0801,4555.6802,4588.7700,1784169984
2014-91-15,4518.8999,4567.4702,4506.7300,4567.4502,1940519936
2014-91-16,4552.7598,4558.2402,4499.8701,4502.1099,1879350016
2014-91-17,4562.1899,4582.3999,4539.3599,4553.9600,1796710016
2014-91-18,4593.4302,4593.9800,4572.6201,4575.7402,1774840064
2014-91-19,4579.7900,4610.5698,4563.4399,4606.1299,3178490112
2014-92-22,4527.6899,4568.8701,4513.1201,4568.4502,1881520000
2014-92-23,4508.6899,4536.0298,4508.4199,4511.3198,1847730048
2014-92-24,4555.2202,4557.2700,4500.1299,4514.9199,1765260032
2014-92-25,4466.7500,4546.9302,4466.6401,4540.8198,1939609984
2014-92-26,4512.1899,4515.7500,4475.4800,4476.4800,1637479936
2014-92-29,4505.8501,4515.2402,4464.4399,4465.8398,1737750016
2014-93-30,4493.3901,4522.0601,4483.9102,4512.6401,2200379904
2014-00-01,4422.0898,4486.7900,4409.2998,4486.6499,2312630016
2014-00-02,4430.2002,4441.9502,4367.7402,4421.2500,2165499904
2014-00-03,4475.6201,4488.0698,4445.7202,4456.8101,1777639936
2014-00-06,4454.7998,4496.2598,4444.1001,4492.3999,1828240000
2014-00-07,4385.2002,4441.7598,4385.1499,4433.9102,2111360000
2014-00-08,4468.5898,4473.7300,4355.3398,4385.7002,2451630080
2014-00-09,4378.3398,4464.1299,4377.2798,4458.2900,2264219904
2014-01-10,4276.2402,4380.5098,4276.2402,4354.6299,3097359872
2014-01-13,4213.6602,4303.8198,4212.8701,4274.9102,63104909312
2014-01-14,4227.1699,4281.3398,4212.8198,4246.2300,2496120064
2014-01-15,4215.3198,4231.5400,4116.6001,4154.1001,3058739968
2014-01-16,4217.3901,4246.0098,4131.6499,4133.2500,2591940096
2014-01-17,4258.4399,4296.1099,4241.6699,4275.0898,2260069888
2014-02-20,4316.0698,4316.8701,4248.2202,4254.1602,1717369984
2014-02-21,4419.4800,4419.4800,4356.1001,4359.1699,1997580032
2014-02-22,4382.8501,4435.8599,4381.2798,4429.1602,1967020032
2014-02-23,4452.7900,4475.5498,4421.5601,4427.4399,1952380032
2014-02-24,4483.7202,4486.2598,4445.8501,4459.4600,1754300032
2014-02-27,4485.9302,4489.6001,4450.2900,4469.0200,1585580032
2014-02-28,4564.2900,4564.2900,4505.1099,4505.7300,1966919936
2014-02-29,4549.2300,4564.4399,4517.0200,4551.3701,2184049920
2014-03-30,4566.1401,4575.5000,4521.7900,4532.1001,2034960000
2014-03-31,4630.7402,4641.5098,4616.5801,4639.4502,2424359936
2014-10-03,4638.9102,4654.1899,4627.4199,4633.7100,2032999936
2014-10-04,4623.6401,4635.9502,4594.9199,4623.7700,1939320064
2014-10-05,4620.7202,4650.3901,4607.7300,4649.4702,2001869952
2014-10-06,4638.4702,4639.1699,4604.7598,4616.7798,1986819968
2014-10-07,4632.5298,4638.7998,4606.8101,4636.8901,1978829952
2014-11-10,4651.6201,4653.3799,4626.4902,4635.1001,1830009984
2014-11-11,4660.5601,4661.2300,4640.2402,4649.1899,1663689984
2014-11-12,4675.1401,4678.5801,4643.7798,4644.6299,1773059968
2014-11-13,4680.1401,4703.1001,4664.2700,4681.5601,1857580032
2014-11-14,4688.5400,4688.7402,4664.3101,4679.8501,1739949952
2014-11-17,4671.0000,4689.5298,4655.2002,4678.4399,1695069952
2014-11-18,4702.4399,4709.8301,4674.2998,4674.8398,1655760000
2014-11-19,4675.7100,4696.2002,4655.7202,4694.7798,1641560064
2014-12-20,4701.8701,4702.9702,4653.3301,4655.2002,1667330048
2014-12-21,4712.9702,4751.6001,4700.7300,4751.0098,1854339968
2014-12-24,4754.8901,4755.0200,4723.6201,4725.1699,1568130048
2014-12-25,4758.2500,4774.5200,4749.9199,4762.3901,1720140032
2014-12-26,4787.3198,4788.0000,4757.4800,4760.2300,1362930048
2014-12-28,4791.6299,4810.8599,4786.7202,4797.1001,998600000
2014-20-01,4727.3501,4782.0698,4724.6201,4777.7300,1893600000
2014-20-02,4755.8101,4761.6299,4729.7598,4732.9702,1839170048
2014-20-03,4774.4702,4781.3701,4745.1401,4761.3101,1734509952
2014-20-04,4769.4399,4785.4102,4753.7100,4772.0000,1724089984
2014-20-05,4780.7598,4788.9800,4769.6401,4776.5801,1767100032
2014-20-08,4740.6899,4793.2402,4722.9102,4769.7598,1966770048
2014-20-09,4766.4702,4768.4102,4674.3799,4685.2002,1950329984
2014-21-10,4684.0200,4766.6401,4679.2500,4754.4199,1850809984
2014-21-11,4708.1602,4759.8799,4699.4302,4704.6499,1873049984
2014-21-12,4653.6001,4707.9199,4653.6001,4665.3501,1888870016
2014-21-15,4605.1602,4690.5801,4592.4302,4679.6699,2143609984
2014-21-16,4547.8301,4645.1899,4547.3101,4572.7900,2231670016
2014-21-17,4644.3101,4651.8999,4550.7002,4556.8999,2279930112
2014-21-18,4748.3999,4748.3999,4697.0898,4712.3901,2172260096
2014-21-19,4765.3799,4782.1299,4738.2900,4752.6001,3287920128
2014-22-22,4781.4199,4781.9302,4757.7998,4759.0400,1720070016
2014-22-23,4765.4199,4798.0601,4761.3901,4798.0298,1590819968
2014-22-24,4773.4702,4787.5698,4768.6699,4770.1201,729750016
2014-22-26,4806.8599,4814.9502,4787.8501,4788.0601,0
2014-22-29,4806.9102,4813.7202,4798.8999,4801.2598,1227740032
2014-23-30,4777.4399,4803.8901,4772.8799,4793.6099,1269200000
2014-23-31,4736.0498,4806.4302,4734.1099,4790.5298,1515600000
2015-10-02,4726.8101,4777.0098,4698.1099,4760.2402,1435149952
2015-10-05,4652.5698,4702.7700,4641.4600,4700.3398,1794470016
2015-10-06,4592.7402,4667.3301,4567.5898,4666.8501,2167320064
2015-10-07,4650.4702,4652.7202,4613.8999,4626.8398,1957949952
2015-10-08,4736.1899,4741.3799,4688.0200,4689.5400,2105449984
2015-10-09,4704.0698,4744.7100,4681.2402,4744.4702,1715830016
2015-11-12,4664.7100,4715.8101,4650.6499,4714.0698,1861959936
2015-11-13,4661.5000,4751.3398,4624.2798,4708.7402,2162180096
2015-11-14,4639.3198,4655.3701,4595.9800,4610.7598,2073810048
2015-11-15,4570.8198,4663.9600,4567.3901,4657.4600,1976259968
2015-11-16,4634.3799,4635.8198,4563.1099,4566.3799,1970520064
2015-12-20,4654.8501,4665.6499,4601.1001,4655.8398,1835040000
2015-12-21,4667.4199,4692.4600,4629.5898,4641.9502,1847420032
2015-12-22,4750.3999,4752.6001,4644.5698,4690.9302,1996550016
2015-12-23,4757.8799,4771.1802,4737.9502,4748.1899,1653830016
2015-12-26,4771.7598,4774.1802,4734.2002,4752.3599,1717510016
2015-12-27,4681.5000,4721.8701,4659.8301,4698.2300,1954160000
2015-12-28,4637.9902,4742.0601,4637.4800,4740.6899,2118680064
2015-12-29,4683.4102,4688.4102,4601.7598,4635.7300,2110710016
